sale_id:0,11
store_id:11,7
product_id:18,7
timestamp:25,20
quantity:45,2
unit_price:47,7
-------
S0000000001ST00004PR000062024-01-01T05:53:07Z08  51.00
S0000000002ST00004PR000022024-01-01T13:03:14Z11 301.00
S0000000003ST00004PR000282024-01-01T12:49:20Z11  22.20
S0000000004ST00004PR000262024-01-01T02:04:26Z06 361.72
S0000000005ST00004PR000162024-01-01T07:46:00Z11  11.13
S0000000006ST00004PR000232024-01-01T18:48:36Z05 375.87
S0000000007ST00004PR000042024-01-01T13:55:53Z09 258.56
S0000000008ST00004PR000262024-01-01T05:55:44Z05 363.35
S0000000009ST00004PR000112024-01-01T18:08:37Z02 431.00
S0000000010ST00004PR000052024-01-01T21:30:46Z05 238.18
S0000000011ST00004PR000132024-01-01T13:20:20Z05 129.19
S0000000012ST00004PR000072024-01-01T14:20:50Z10 337.48
S0000000013ST00004PR000282024-01-01T14:53:33Z03  21.30
S0000000014ST00004PR000042024-01-01T04:58:55Z01 245.02
S0000000015ST00004PR000262024-01-01T09:37:44Z02 376.41
S0000000016ST00004PR000252024-01-01T00:38:53Z03 475.76
S0000000017ST00004PR000152024-01-01T16:35:07Z05 305.47
S0000000018ST00004PR000132024-01-01T06:05:34Z09 128.65
S0000000019ST00004PR000272024-01-01T20:31:49Z08 477.31
S0000000020ST00004PR000182024-01-01T22:26:59Z09 480.59
S0000000021ST00004PR000292024-01-01T17:26:25Z06 293.99
S0000000022ST00004PR000172024-01-01T15:00:14Z08 106.72
S0000000023ST00004PR000242024-01-01T17:31:28Z02 263.62
S0000000024ST00004PR000022024-01-01T22:54:26Z04 309.62
S0000000025ST00004PR000272024-01-01T20:01:52Z07 462.57
S0000000026ST00004PR000042024-01-01T17:48:55Z07 249.96
S0000000027ST00004PR000282024-01-01T21:34:06Z04  23.47
S0000000028ST00004PR000132024-01-01T21:18:32Z12 128.28
S0000000029ST00004PR000212024-01-01T15:26:25Z03 405.47
S0000000030ST00004PR000172024-01-01T23:09:23Z06 102.14
S0000000031ST00004PR000242024-01-01T06:50:41Z05 268.36
S0000000032ST00004PR000112024-01-01T23:31:18Z07 430.78
